timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3172,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3174,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3176,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3178,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3180,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3182,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3184,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3186,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3188,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3190,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3192,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3194,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3196,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3198,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3200,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3202,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3204,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3206,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3208,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3210,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3212,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3214,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3216,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3218,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3220,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3222,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3224,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3226,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3228,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3230,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3232,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3234,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3236,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3238,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3240,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3242,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3244,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
